name,postal_code
MAROLLES SOUS LIGNIERES,10130
LES GRANDES CHAPELLES,10170
MERREY SUR ARCE,10110
JUVANCOURT,10310
LAUBRESSEL,10270
ISLE AUMONT,10800
LIGNIERES,10130
MERGEY,10600
MACHY,10320
CRUSCADES,11200
CUBIERES SUR CINOBLE,11190
CUCUGNAN,11350
DONAZAC,11240
FAJAC EN VAL,11220
FESTES ET ST ANDRE,11300
FONTANES DE SAULT,11140
FONTCOUVERTE,11700
FONTJONCOUSE,11360
GALINAGUES,11140
